出版社
克孜勒苏柯尔克孜文出版社
党建读物出版社
兰州大学出版社
兵器工业出版社
内蒙古人民出版社
内蒙古大学出版社
内蒙古少年儿童出版社
内蒙古教育出版社
内蒙古文化出版社
内蒙古科学技术出版社
军事医学科学出版社
军事科学出版社
军事译文出版社
农村读物出版社（中国农业出版社的副牌）
冶金工业出版社
凤凰出版社
化学工业出版社
北京交通大学出版社
北京体育大学出版社
北京农业大学出版社
北京出版社
北京医科大学、中国协和医科大学联合出版社
北京十月文艺出版社
北京古籍出版社
北京图书馆出版社
北京大学出版社
北京大学医学出版社
北京少年儿童出版社
北京工业大学出版社
北京工艺美术出版社
北京师范大学出版社
北京希望电子出版社
北京广播学院出版社
北京教育出版社
北京旅游出版社
北京燕山出版社
北京理工大学出版社
北京科学技术出版社
北京美术摄影出版社
北京航空航天大学出版社
北京语言文化大学出版社
北京邮电大学出版社
北岳文艺出版社
北方妇女儿童出版社
北方文艺出版社
华东师范大学出版社
华东理工大学出版社
华中师范大学出版社
华中理工大学出版社
华中科技大学出版社、
华乐出版社（人民音乐出版社）
华南理工大学出版社
华夏出版社
华文出版社
华艺出版社
华语教学出版社（外文出版社的副牌，专门出版汉语教材）
华龄出版社
南京出版社
南京大学出版社
南京师范大学出版社
南开大学出版社
南方出版社
南方日报出版社
南海出版公司
博文书社
印刷工业出版社
原子能出版社
厦门大学出版社
古吴轩出版社
台海出版社
合肥工业大学出版
吉林人民出版社
吉林出版集团
吉林大学出版社
吉林摄影出版社
吉林教育出版社
吉林文史出版社
吉林科学技术出版社
吉林美术出版社
同心出版社
同济大学出版社
哈尔滨出版社
哈尔滨地图出版社
哈尔滨工程大学出版社
商务印书馆 (北京)
商务印书馆国际有限公司
喀什维吾尔文出版社
四川人民出版社
四川大学出版社
四川少年儿童出版社
四川教育出版社
四川文艺出版社
四川民族出版社
四川科学技术出版社
四川美术出版社
四川辞书出版社
团结出版社
国家行政学院出版社
国防大学出版社
国防工业出版社
国防科技大学出版社
国际文化出版公司
地质出版社
地震出版社
复旦大学出版社
外国文学出版社（人民文学出版社的副牌）
外文出版社
外语教学与研究出版社
大众文艺出版社
大象出版社
大连出版社
大连海事大学出版社
大连理工大学出版社
天地出版社
天津人民出版社
天津人民美术出版社
天津古籍出版社
天津大学出版社
天津教育出版社
天津杨柳青画社
天津社会科学院出版社
天津科学技术出版社
天津科技翻译出版公司
太白文艺出版社
奥林匹克出版社
学习出版社
学术期刊出版社
学林出版社
学苑出版社
宁夏人民出版社
宁夏人民教育出版社
宁夏少年儿童出版社
宁波出版社
宇航出版社
安徽人民出版社
安徽大学出版社
安徽少年儿童出版社
安徽教育出版社
安徽文艺出版社
安徽科学技术出版社
安徽美术出版社
宗教文化出版社
宝文堂书店
对外经济贸易大学出版社
少年儿童出版社
山东人民出版社
山东友谊出版社
山东大学出版社
山东教育出版社
山东文艺出版社
山东画报出版社
山东省地图出版社
山东科学技术出版社
山东美术出版社
山西人民出版社
山西古籍出版社
山西教育出版社
山西科学技术出版社
山西经济出版社
山西高校联合出版社
岭南美术出版社
岳麓书社
崇文书局
工商出版社
巴蜀书社
希望出版社
广东世界图书出版有限公司
广东人民出版社
广东教育出版社
广东旅游出版社
广东省地图出版社
广东科技出版社
广东经济出版社
广东高等教育出版社
广州出版社
广西人民出版社
广西师范大学出版社
广西接力出版社
广西教育出版社
广西民族出版社
广西科学技术出版社
广西美术出版社
广陵书社
延边人民出版社
延边大学出版社
延边教育出版社
开明出版社
当代世界出版社
德宏民族出版社
成都出版社
成都地图出版社
成都时代出版社
成都科技大学出版社
接力出版社
改革出版社
教育科学出版社
敦煌文艺出版社
文化教育出版社
文化艺术出版社
文字改革出版社
文心出版社
文汇出版社
文津出版社
文物出版社
新世界出版社
新世纪出版社
新华出版社
新时代出版社（国防工业出版社的副牌）
新星出版社
新疆人民出版社
新疆大学出版社
新疆教育出版社
新疆生产建设兵团出版社
新疆科学技术出版社
新疆科技卫生出版社
新疆美术摄影出版社
新疆青少年出版社
新蕾出版社
方志出版社
旅游教育出版社
时事出版社
时代文艺出版社
昆仑出版社（解放军文艺出版社的副牌）
明天出版社
星球地图出版社
春秋出版社
春风文艺出版社
晨光出版社
暨南大学出版社
朝华出版社
朝花美术出版社、朝花少年儿童出版社
未来出版社
机械工业出版社
杭州出版社
杭州大学出版社
档案出版社
武汉出版社
武汉大学出版社
武汉水利电力大学出版社
武汉测绘科技大学出版社
武汉理工大学出版社、武汉工业大学出版社
民主与建设出版社
民族出版社
气象出版社
水利电力出版社
求实出版社
求真出版社
汉语大词典出版社
汕头大学出版社
江苏人民出版社
江苏古籍出版社
江苏少年儿童出版社
江苏文艺出版社
江苏科学技术出版社
江苏美术出版社
江西人民出版社
江西教育出版社
江西科学技术出版社
江西美术出版社
江西高校出版社
沈阳出版社
河北人民出版社
河北大学出版社
河北少年儿童出版社
河北教育出版社
河北科学技术出版社
河北美术出版社
河南人民出版社
河南医科大学出版社
河南教育出版社
河南文艺出版社
河南科学技术出版社
河南美术出版社
河海大学出版社
法律出版社
泰山出版社
测绘出版社（与中国地图出版社同属一家）
济南出版社
浙江人民出版社
浙江人民美术出版社
浙江古籍出版社
浙江大学出版社
浙江少年儿童出版社
浙江工商大学出版社
浙江摄影出版社
浙江教育出版社
浙江文艺出版社
浙江科学技术出版社
浙江美术学院出版社
海军出版社
海南人民出版社
海南出版社
海南国际新闻出版中心
海南摄影美术出版社
海天出版社
海峡文艺出版社
海洋出版社
海潮出版社
海潮摄影艺术出版社
海燕出版社
海豚出版社（外文出版社的副牌，专门出版儿童读物）
海风出版社
深圳报业集团出版社
清华大学出版社
湖北人民出版社
湖北少年儿童出版社
湖北教育出版社
湖北科学技术出版社
湖北美术出版社
湖北辞书出版社
湖南人民出版社
湖南出版社
湖南地图出版社
湖南大学出版社
湖南少年儿童出版社
湖南师范大学出版社
湖南教育出版社
湖南文艺出版社
湖南科学技术出版社
湖南美术出版社
湘潭大学出版社
漓江出版社
煤炭工业出版社
环境科学出版社
现代出版社
现代教育出版社
珠海出版社
甘肃人民出版社
甘肃人民美术出版社
甘肃少年儿童出版社
甘肃教育出版社
甘肃文化出版社
甘肃民族出版社
甘肃科学技术出版社
生活·读书·新知三联书店
电子工业出版社
电子科技大学出版社
白山出版社
百家出版社
百花文艺出版社
百花洲文艺出版社
知识产权出版社
知识出版社（中国大百科全书出版社的副牌）
石油大学出版社
石油工业出版社
研究出版社
社会科学文献出版社
福建人民出版社
福建少年儿童出版社
福建教育出版社
福建省地图出版社
福建科学技术出版社
福建美术出版社
科学出版社
科学技术文献出版社
科学普及出版社
立信会计出版社
第二军医大学出版社
第四军医大学出版社
紫禁城出版社
红旗出版社
线装书局
经济日报出版社 (北京)
经济科学出版社
经济管理出版社
羊城晚报出版社
群言出版社
能源出版社
航空工业出版社
花城出版社
花山文艺出版社
苏州大学出版社
荣宝斋出版社
蓝天出版社
藏文古籍出版社
蜀蓉棋艺出版社
西北大学出版社
西北工业大学出版社
西南交通大学出版社
西南师范大学出版社
西南财经大学出版社
西安交通大学出版社
西安出版社
西安地图出版社
西安电子科技大学出版社
西泠印社出版社
西苑出版社
西藏人民出版社
解放军出版社
解放军文艺出版社
警官教育出版社
译林出版社
语文出版社
贵州人民出版社
贵州教育出版社
贵州民族出版社
贵州科学技术出版社
辽宁人民出版社
辽宁古籍出版社
辽宁大学出版社
辽宁少年儿童出版社
辽宁师范大学出版社
辽宁教育出版社
辽宁民族出版社
辽宁画报出版社
辽宁科学技术出版社
辽宁美术出版社
辽海出版社
远方出版社
连环画出版社
郑州大学出版社
重庆出版社
重庆大学出版社
金城出版社
金盾出版社
长城出版社
长春出版社
长江出版社
长江文艺出版社
长虹出版公司
陕西人民出版社
陕西人民教育出版社
陕西人民美术出版社
陕西师范大学出版社
陕西摄影出版社
陕西旅游出版社
陕西科学技术出版社
青岛出版社
青海人民出版社
青海民族出版社（青海人民出版社的副牌）
首都师范大学出版社
首都经济贸易大学出版社、北京经济学院出版社
高等教育出版社
鹭江出版社
黄山书社
黄河出版社
黄河水利出版社
黑龙江人民出版社
黑龙江大学出版社
黑龙江少年儿童出版社
黑龙江教育出版社
黑龙江朝鲜民族出版社
黑龙江科学技术出版社
黑龙江美术出版社
齐鲁书社
龙门书局（科学出版社的副牌）
